Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
1/2/2017,34.99,35.94,34.99,35.8,0.95,,,,,
1/3/2017,35.9,35.93,35.34,35.48,0.59,,,,,
1/4/2017,35.48,35.51,34.75,35.19,0.76,,,,,
1/5/2017,35.02,35.2,34.73,35.06,0.47,,,,,
1/6/2017,34.91,35.21,34.91,35.04,0.3,,,,,
1/9/2017,35.29,35.35,34.43,34.67,0.92,,,,,
1/10/2017,34.8,34.98,34.46,34.91,0.52,,,,,
1/11/2017,34.95,36,34.84,35.42,1.16,,,,,
1/12/2017,35.38,35.38,34.31,34.9,1.07,,,,,
1/13/2017,34.98,34.98,34.6,34.85,0.38,,,,,
1/16/2017,34.85,35.24,34.56,35.07,0.68,,,,,
1/17/2017,35.06,35.19,34.79,34.99,0.4,,,,,
1/18/2017,35.04,35.51,34.8,34.9,0.71,,,,,
1/19/2017,35.04,35.04,34.42,34.5,0.62,,,,,
1/20/2017,34.54,34.59,34.05,34.17,0.54,,,,,
1/23/2017,34.04,34.12,33.62,34.06,0.5,,,,,
1/24/2017,34,34.35,33.85,34.22,0.5,,,,,
1/25/2017,34.42,34.86,34.03,34.83,0.83,,,,,
1/26/2017,35.07,35.58,34.8,34.89,0.78,,,,,
1/27/2017,34.83,35.43,34.81,35.3,0.62,,,,,
1/30/2017,35.38,35.59,34.95,35.15,0.64,,,,,
1/31/2017,35.24,35.24,34.56,34.56,0.68,,,,,
2/1/2017,34.75,36,34.75,35.94,1.25,,,,,
2/2/2017,35.95,36.2,35.7,36.07,0.5,,,,,
2/3/2017,36.02,36.2,35.73,36.1,0.47,,,,,
2/6/2017,36.06,36.15,35.6,35.64,0.55,,,,,
2/7/2017,35.56,36.05,35.36,35.89,0.69,,,,,
2/8/2017,35.98,36.14,35.84,36.05,0.3,,,,,
2/9/2017,36.2,36.25,35.77,36.25,0.48,,,,,
2/10/2017,36.65,37.5,36.57,37.06,0.93,,,,,
2/13/2017,37.37,39.36,37.35,38.53,2.01,,,,,
2/14/2017,38.81,38.86,38,38.37,0.86,,,,,
2/15/2017,38.5,38.93,38.4,38.72,0.53,,,,,
2/16/2017,38.8,39.2,38.25,38.71,0.95,,,,,
2/17/2017,38.8,39.03,38.48,39.02,0.55,,,,,
2/20/2017,39.25,39.25,38.81,38.98,0.44,,,,,
2/21/2017,38.85,39.57,38.85,39.45,0.72,,,,,
2/22/2017,39.6,39.75,39.27,39.7,0.48,,,,,
2/23/2017,39.72,39.98,39.38,39.79,0.6,,,,,
2/24/2017,39.77,40.14,38.91,39.74,1.23,,,,,
2/27/2017,39.75,40.64,39.75,40.39,0.89,,,,,
2/28/2017,40.38,40.95,40.38,40.84,0.57,,,,,
3/1/2017,41.19,41.57,40.9,41.2,0.67,,,,,
3/2/2017,41.38,41.39,40.76,41.17,0.63,,,,,
3/3/2017,41.12,41.22,40.84,41.18,0.38,,,,,
3/6/2017,41.25,41.4,40.81,41.4,0.59,,,,,
3/7/2017,41.5,41.8,41.25,41.42,0.55,,,,,
3/8/2017,41.13,41.71,40.95,41.68,0.76,,,,,
3/9/2017,41.61,41.61,41.16,41.4,0.45,,,,,
3/10/2017,41.53,41.53,41.16,41.4,0.37,,,,,
3/13/2017,41.4,41.46,41.08,41.3,0.38,,,,,
3/14/2017,41.2,41.5,41.2,41.3,0.3,,,,,
3/15/2017,41.4,41.5,40.91,41.25,0.59,,,,,
3/16/2017,41.4,41.57,41.09,41.46,0.48,,,,,
3/17/2017,41.47,41.59,41.16,41.34,0.43,,,,,
3/20/2017,41.26,42.17,41.26,41.97,0.91,,,,,
3/21/2017,41.8,41.83,40.97,40.98,0.86,,,,,
3/22/2017,38.25,39.02,37.53,38.94,1.49,,,,,
3/23/2017,39.01,39.25,38.63,38.96,0.62,,,,,
3/24/2017,38.94,39.02,38.6,38.94,0.42,,,,,
3/27/2017,38.73,39.1,38.53,38.85,0.57,,,,,
3/28/2017,38.95,39.35,38.79,39.22,0.56,,,,,
3/29/2017,39.39,40.01,39.05,40.01,0.96,,,,,
3/30/2017,40.02,40.14,39.42,39.75,0.72,,,,,
3/31/2017,39.77,40.07,39.42,39.98,0.65,,,,,
4/3/2017,40.15,40.15,39.54,39.64,0.61,,,,,
4/4/2017,39.5,40.88,39.48,40.81,1.4,,,,,
4/5/2017,41.1,41.34,40.79,41.1,0.55,,,,,
4/6/2017,40.96,41.25,40.83,41.05,0.42,,,,,
4/7/2017,40.9,41.42,40.84,41.42,0.58,,,,,
4/10/2017,41.46,41.68,41.31,41.68,0.37,,,,,
4/11/2017,41.62,42.03,41.53,41.75,0.5,,,,,
4/12/2017,42.02,42.45,41.84,42.2,0.61,,,,,
4/13/2017,42.06,42.48,41.99,42.2,0.49,,,,,
4/14/2017,42.2,88416,,,88416,,,,,
4/17/2017,42.2,88416,,,88416,,,,,
4/18/2017,42.24,42.4,41.54,42,0.86,,,,,
4/19/2017,41.94,42.61,41.94,42.61,0.67,,,,,
4/20/2017,42.5,42.64,41.52,41.93,1.12,,,,,
4/21/2017,41.97,42.14,41.01,41.32,1.13,,,,,
4/24/2017,42.01,42.02,41.23,41.81,0.79,,,,,
4/25/2017,41.93,42.18,41.66,41.89,0.52,,,,,
4/26/2017,41.88,41.94,41.4,41.5,0.54,,,,,
4/27/2017,41.51,42.24,41.51,42.16,0.73,,,,,
4/28/2017,42.17,42.25,41.66,41.72,0.59,,,,,
5/1/2017,41.72,-0.44,86348,3606589,-86348.44,,,,,
5/2/2017,41.89,42.23,41.76,42.15,0.47,,,,,
5/3/2017,42.2,42.29,41.78,41.9,0.51,,,,,
5/4/2017,41.86,42.5,41.71,42.5,0.79,,,,,
5/5/2017,42.52,42.91,42.38,42.75,0.53,,,,,
5/8/2017,43,43,42.04,42.24,0.96,,,,,
5/9/2017,41.83,43.55,41.82,43.3,1.73,,,,,
5/10/2017,43.5,43.6,42.53,43.28,1.07,,,,,
5/11/2017,43.4,46.06,43.25,45,2.81,,,,,
5/12/2017,45.18,45.18,44.16,44.99,1.02,,,,,
5/15/2017,45.09,45.78,44.31,45.14,1.47,,,,,
5/16/2017,45.15,45.36,44.56,45.31,0.8,,,,,
5/17/2017,45.06,45.34,44.01,44.19,1.33,,,,,
5/18/2017,44,44.3,43.29,43.98,1.01,,,,,
5/19/2017,43.74,44.12,43.74,44.12,0.38,,,,,
5/22/2017,44.16,44.22,43.44,43.84,0.78,,,,,
5/23/2017,43.67,44.13,43.55,43.9,0.58,,,,,
5/24/2017,43.92,44.67,43.92,44.53,0.75,,,,,
5/25/2017,44.8,44.87,44.29,44.78,0.58,,,,,
5/26/2017,44.8,45.36,44.71,45.3,0.65,,,,,
5/29/2017,45.61,45.61,45.24,45.32,0.37,,,,,
5/30/2017,45.05,46.02,45.05,46.02,0.97,,,,,
5/31/2017,45.22,46.26,45.22,45.86,1.04,,,,,
6/1/2017,46.12,46.52,45.89,46.52,0.63,,,,,
6/2/2017,46.8,46.99,46.72,46.99,0.27,,,,,
6/6/2017,47.12,47.45,46.21,47.43,1.24,,,,,
6/7/2017,47.01,47.43,47.01,47.43,0.42,,,,,
6/8/2017,47.8,47.8,46.27,46.27,1.53,,,,,
6/9/2017,46.77,47.44,46.55,47.44,0.89,,,,,
6/12/2017,47.31,47.43,45.89,46.31,1.54,,,,,
6/13/2017,46.5,46.51,46.03,46.32,0.48,,,,,
6/14/2017,46.52,46.86,46.05,46.33,0.81,,,,,
6/15/2017,46.34,46.34,45.21,45.67,1.13,,,,,
6/16/2017,45.66,46.8,45.66,46.63,1.14,,,,,
6/19/2017,46.9,46.9,46.25,46.64,0.65,,,,,
6/20/2017,46.48,47.43,46.27,47.37,1.16,,,,,
6/21/2017,47.46,47.48,46.53,46.99,0.95,,,,,
6/22/2017,47.03,47.4,46.75,47.29,0.65,,,,,
6/23/2017,47.29,47.4,46.79,46.99,0.61,,,,,
6/26/2017,46.95,47.63,46.91,47.21,0.72,,,,,
6/27/2017,47.23,47.33,46.39,46.83,0.94,,,,,
6/28/2017,46.68,46.68,45.41,45.68,1.27,,,,,
6/29/2017,45.73,45.81,45.11,45.2,0.7,,,,,
6/30/2017,45.01,45.74,45,45.44,0.74,,,,,
7/3/2017,45.29,45.83,45.06,45.75,0.77,,,,,
7/4/2017,45.83,45.83,44.74,44.8,1.09,,,,,
7/5/2017,44.67,45.36,44.44,45.19,0.92,,,,,
7/6/2017,45.5,45.5,44.15,44.62,1.35,,,,,
7/7/2017,44.79,44.79,44.25,44.53,0.54,,,,,
7/10/2017,44.64,45.18,44.51,44.7,0.67,,,,,
7/11/2017,44.94,44.94,44.08,44.2,0.86,,,,,
7/12/2017,44.29,45.05,43.89,44.95,1.16,,,,,
7/13/2017,44.67,45.18,44.67,44.95,0.51,,,,,
7/14/2017,45.07,45.56,44.83,45.53,0.73,,,,,
7/17/2017,45.6,46.23,45.29,45.6,0.94,,,,,
7/18/2017,45.5,45.55,44.7,45,0.85,,,,,
7/19/2017,45.06,45.72,44.94,45.57,0.78,,,,,
7/20/2017,45.74,45.96,45.23,45.66,0.73,,,,,
7/21/2017,45.57,45.88,45.04,45.44,0.84,,,,,
7/24/2017,45.31,45.31,44.49,44.61,0.82,,,,,
7/25/2017,44.7,45.04,44.63,44.82,0.41,,,,,
7/26/2017,44.91,45.33,44.46,45.16,0.87,,,,,
7/27/2017,45.16,45.45,45.15,45.25,0.3,,,,,
7/28/2017,45.26,45.29,44.75,44.97,0.54,,,,,
7/31/2017,44.94,45.75,44.94,45.3,0.81,,,,,
8/1/2017,45.24,45.54,45.1,45.45,0.44,,,,,
8/2/2017,45.25,45.77,44.9,45.56,0.87,,,,,
8/3/2017,45.34,45.54,44.91,44.97,0.63,,,,,
8/4/2017,45.13,45.13,44.36,45.07,0.77,,,,,
8/7/2017,45.85,46.34,44.02,44.96,2.32,,,,,
8/8/2017,44.9,45.09,44.15,44.37,0.94,,,,,
8/9/2017,43.5,43.5,41.64,41.81,1.86,,,,,
8/10/2017,41.73,41.99,41.14,41.68,0.85,,,,,
8/11/2017,41.3,41.94,40.96,41.94,0.98,,,,,
8/14/2017,42.12,42.69,42.01,42.3,0.68,,,,,
8/15/2017,42.53,42.53,42.2,42.28,0.33,,,,,
8/16/2017,42.4,42.62,41.98,42.05,0.64,,,,,
8/17/2017,41.88,43.01,41.76,42.5,1.25,,,,,
8/18/2017,42.28,42.6,42.01,42.41,0.59,,,,,
8/21/2017,42.42,42.76,42.2,42.26,0.56,,,,,
8/22/2017,42.46,42.96,42.4,42.71,0.56,,,,,
8/23/2017,42.82,43.17,42.6,42.71,0.57,,,,,
8/24/2017,42.72,43.05,42.63,42.69,0.42,,,,,
8/25/2017,42.64,42.64,42.05,42.14,0.59,,,,,
8/28/2017,42.11,42.25,41.86,41.91,0.39,,,,,
8/29/2017,41.71,41.98,41.33,41.85,0.65,,,,,
8/30/2017,42,42.2,41.49,41.94,0.71,,,,,
8/31/2017,42,42.08,41.12,41.9,0.96,,,,,
9/1/2017,42.16,43.06,42.07,42.41,0.99,,,,,
9/4/2017,42.38,42.75,41.95,42.6,0.8,,,,,
9/5/2017,43,43.19,42.55,42.62,0.64,,,,,
9/6/2017,42.66,42.71,42.34,42.55,0.37,,,,,
9/7/2017,43,43.02,42.67,42.77,0.35,,,,,
9/8/2017,42.7,42.75,42.56,42.67,0.19,,,,,
9/11/2017,42.81,42.89,42.56,42.85,0.33,,,,,
9/12/2017,43.21,43.34,42.62,42.73,0.72,,,,,
9/13/2017,42.49,42.69,42.22,42.45,0.47,,,,,
9/14/2017,42.35,42.8,42.35,42.52,0.45,,,,,
9/15/2017,42.29,42.81,42.25,42.42,0.56,,,,,
9/18/2017,42.5,42.63,42.23,42.27,0.4,,,,,
9/19/2017,42.65,42.65,42.13,42.44,0.52,,,,,
9/20/2017,42.54,42.54,41.99,41.99,0.55,,,,,
9/21/2017,42.29,42.29,41.39,41.46,0.9,,,,,
9/22/2017,41.48,42.38,41.48,42.06,0.9,,,,,
9/25/2017,42.3,42.3,41.96,42.07,0.34,,,,,
9/26/2017,42.3,42.57,42.11,42.37,0.46,,,,,
9/27/2017,42.35,42.49,41.78,42.04,0.71,,,,,
9/28/2017,42,43.56,42,43.56,1.56,,,,,
9/29/2017,43.58,44.17,43.3,44.17,0.87,,,,,
10/2/2017,44.51,44.98,44.18,44.98,0.8,,,,,
10/4/2017,45.36,46.17,45.22,46.11,0.95,,,,,
10/5/2017,46.01,46.09,45.63,46.05,0.46,,,,,
10/6/2017,46.19,46.19,45.69,46,0.5,,,,,
10/9/2017,46.2,46.2,45.6,45.74,0.6,,,,,
10/10/2017,45.64,46.04,45.57,45.84,0.47,,,,,
10/11/2017,45.97,45.97,45.25,45.29,0.72,,,,,
10/12/2017,45.58,45.58,45.17,45.43,0.41,,,,,
10/13/2017,45.5,45.7,45.37,45.4,0.33,,,,,
10/16/2017,45.61,45.75,45.3,45.55,0.45,,,,,
10/17/2017,45.8,46.06,45.37,45.96,0.69,,,,,
10/18/2017,46.01,46.2,45.61,45.77,0.59,,,,,
10/19/2017,45.72,45.85,44.79,45,1.06,,,,,
10/20/2017,45.08,45.34,44.76,44.87,0.58,,,,,
10/23/2017,44.9,45.34,44.89,45,0.45,,,,,
10/24/2017,45.16,45.27,44.75,44.85,0.52,,,,,
10/25/2017,45.01,45.06,44.7,45,0.36,,,,,
10/26/2017,45.2,45.41,44.91,45.41,0.5,,,,,
10/27/2017,45.48,46.42,45.46,46.41,0.96,,,,,
10/30/2017,46.53,46.65,45.61,45.76,1.04,,,,,
11/1/2017,46.29,46.55,45.97,46.04,0.58,,,,,
11/2/2017,45.88,46.06,45.18,45.27,0.88,,,,,
11/3/2017,45,46.04,44.83,45.97,1.21,,,,,
11/6/2017,45.81,46.09,45.76,45.99,0.33,,,,,
11/7/2017,46.16,46.33,45.84,46.26,0.49,,,,,
11/8/2017,46.42,47.72,46.42,47.47,1.3,,,,,
11/9/2017,47.65,48.06,47.09,47.21,0.97,,,,,
11/10/2017,47.3,48.89,47.16,48.34,1.73,,,,,
11/13/2017,48.38,48.61,47.76,48.34,0.85,,,,,
11/14/2017,48.4,48.9,47.84,48,1.06,,,,,
11/15/2017,47.98,48.01,46.75,47.05,1.26,,,,,
11/16/2017,47.09,47.23,46.55,47.03,0.68,,,,,
11/17/2017,47.03,47.15,46.8,46.84,0.35,,,,,
11/20/2017,46.57,47.38,46.54,47.04,0.84,,,,,
11/21/2017,47.25,48.59,46.78,48.39,1.81,,,,,
11/22/2017,48.4,49.61,48.39,48.8,1.22,,,,,
11/23/2017,48.8,49.46,48.45,49.2,1.01,,,,,
11/24/2017,49.11,49.41,48.87,49.11,0.54,,,,,
11/27/2017,49.13,49.73,48.96,49.2,0.77,,,,,
11/28/2017,49.09,49.89,49.03,49.25,0.86,,,,,
11/29/2017,49.64,49.64,48.7,48.75,0.94,,,,,
11/30/2017,48.64,49.84,48.28,49.7,1.56,,,,,
12/1/2017,49.52,50.49,49.17,49.86,1.32,,,,,
12/4/2017,49.5,51.23,49.5,51.14,1.73,,,,,
12/5/2017,51.21,51.38,50.4,51.25,0.98,,,,,
12/6/2017,50.8,51.11,50.39,50.89,0.72,,,,,
12/7/2017,50.89,51.47,50.81,51.47,0.66,,,,,
12/8/2017,51.5,52.83,51.28,52.12,1.55,,,,,
12/11/2017,52.28,52.45,51.26,52.14,1.19,,,,,
12/12/2017,52.29,53.1,51.82,52.43,1.28,,,,,
12/13/2017,52.64,53.35,52.48,53.09,0.87,,,,,
12/14/2017,53.11,53.54,52.15,52.67,1.39,,,,,
12/15/2017,52.7,52.7,51.64,52.01,1.06,,,,,
12/18/2017,52.37,52.75,51.61,52.62,1.14,,,,,
12/19/2017,52.73,52.73,51.07,51.66,1.66,,,,,
12/20/2017,51.88,52.04,51.2,51.27,0.84,,,,,
12/21/2017,51.16,51.52,50.9,51.4,0.62,,,,,
12/22/2017,51.05,51.5,50.92,51.32,0.58,,,,,
12/27/2017,51.45,51.89,50.76,51.82,1.13,,,,,
12/28/2017,51.65,51.82,51.43,51.6,0.39,,,,,
12/29/2017,51.76,51.94,51.45,51.76,0.49,,,,,
